"Sample","Transect.ID","Individual.ID","Year","Site","Visit","SiteVisit","Lat","Long","Collected","Transect","NetorPan","Date.Collected","Type","Species.Code","Genus.Code","Sex","RNA.conc.","DWV","SBV","BQCV","Richness","EstRich_338","Abundance","Diversity","APME_ABUND","BOIM_ABUND","LASI_ABUND","PEPR_ABUND","Nat.1000","Land_Richness_1000","floralrichness","totaldensity","Richness_visit","Abundance_visit","Diversity_visit","invsimpson_visit","shannon_visit","APME_ABUND_visit","BOIM_ABUND_visit","LASI_ABUND_visit","PEPR_ABUND_visit","floralrichness_visit","floralsimpson_visit","floralshannon_visit","squashdensity_visit","forbdensity_visit","totaldensity_visit","squashfloralcover_visit","total_Fcover_visit","BGcover_visit","Squashcover_visit","Grasscover_visit","Forbscover_visit"
1494,"S15B2N","S15B2N-37",2015,"S",2,"S2",42.45859,-83.77424,"squash","B","Net","8/7/2015","APIS","APME","APIS","F","too high",1,1,1,19,20.354,288,0.838614005,54,50,51,69,0.645079186,18,19,65.20833333,16,172,0.800094646,5.002367264,1.873694324,29,21,43,51,12,0.595121312012449,1.45368866352117,0.625,46.0416666666667,46.6666666666667,1.375,2.10416666666667,14.3541666666667,6.08333333333333,71.9791666666667,19.5833333333333
2775,"SP16D1N","SP16D1N-122",2016,"SP",1,"SP1",42.6815,-83.75499,"flowers","D","Net","8/14/2016","APIS","APME","APIS","F","153",1,0,1,30,29.824,343,0.71941113,38,153,89,6,0.510614209,23,15,39.04166667,26,240,0.764791667,4.251550044,1.957671226,29,75,83,6,8,0.737864537305896,1.57327256331014,1.66666666666667,14.8333333333333,16.5,5,2.375,35.2083333333333,39.1666666666667,17.4791666666667,10
3194,"T16D1N","T16D1N-93",2016,"T",1,"T1",42.25154,-84.10862,"flowers","D","Net","8/18/2016","APIS","APME","APIS","F","63.4",0,0,1,33,35.446,292,0.823700507,9,103,40,1,0.582342954,19,10,29.875,28,148,0.745799854,3.933908046,2.104975438,6,68,28,1,6,0.706968590211833,1.42362798361614,2.41666666666667,7.70833333333333,10.125,5.75,2.4375,19.125,57.4166666666667,23.1666666666667,5.70833333333333
458,"W15E2N","W15E2N-28",2015,"W",2,"W2",42.13873,-83.6256,"flowers","E","Net","7/22/2015","APIS","APME","APIS","F","too high",1,0,1,16,17.704,226,0.513391808,20,13,14,155,0.275694246,13,11,8.277777778,12,68,0.835640138,6.084210526,2.029548026,16,12,10,15,9,0.752924942381938,1.62767201768562,0.2,8.7,8.9,0.316666666666667,2.5,43.5166666666667,14.5166666666667,30.8166666666667,14.9166666666667
233,"BB15A2N","BB15A2N-1",2015,"BB",2,"BB2",42.18209,-83.41592,"squash","A","Net","7/18/2015","NON","BOIM","BOMB","F","too high",0,0,0,17,15.604,407,0.459839782,3,4,87,286,0.60990099,13,0,2.476190476,10,198,0.472400775,1.89537807,0.902575716,3,3,52,134,0,1,0,1.22222222222222,0,1.22222222222222,2.66666666666667,0,69.4444444444444,63.3611111111111,2.11111111111111,1.30555555555556
1308,"BC15C3N","BC15C3N-54",2015,"BC",3,"BC3",42.35073,-83.8556,"squash","C","Net","8/2/2015","NON","BOIM","BOMB","F","63",0,1,1,8,7.988,340,0.518217993,57,13,227,24,0.36821267,18,5,11.85416667,6,160,0.6678125,3.010348071,1.365467706,38,13,81,16,3,0.186480455524777,0.396833464385968,2.125,9.5,11.625,5.125,0.270833333333333,61.0625,49.2291666666667,11.8333333333333,5
506,"BJ15A2N","BJ15A2N-5",2015,"BJ",2,"BJ2",41.79369,-83.63598,"squash","A","Net","7/23/2015","NON","BOIM","BOMB","F","too high",0,0,1,25,28.247,183,0.814834722,16,42,61,16,0.637672974,19,8,7.583333333,15,76,0.766620499,4.284866469,1.921685131,3,21,29,2,8,0.68503937007874,1.42566384102152,2.29166666666667,10.5833333333333,12.875,3.64583333333333,1.875,63.0625,16.5416666666667,21.625,16.0208333333333
2327,"BP16A1N","BP16A1N-12",2016,"BP",1,"BP1",42.5732,-84.38707,"squash","A","Net","8/10/2016","NON","BOIM","BOMB","F","too high",0,0,1,43,42.533,346,0.80363527,55,126,64,7,0.660719343,24,11,18.47916667,27,159,0.838574423,6.194805195,2.344772517,22,37,45,6,2,0.486111111111111,0.679193265991526,1.83333333333333,1,2.83333333333333,4.04166666666667,0.770833333333333,57.6875,20.4791666666667,16.1041666666667,11.6875
3367,"E16A2N","E16A2N-8",2016,"E",2,"E2",42.50159,-83.66593,"squash","A","Net","8/22/2016","NON","BOIM","BOMB","F","too high",1,1,0,27,26.448,350,0.747902041,40,76,41,147,0.426470588,23,9,76.5,15,135,0.652620027,2.87869215,1.538835947,32,72,3,7,8,0.358432089455328,0.677318769447566,0.791666666666667,131.375,132.166666666667,3,4.29166666666667,40.4375,37.375,10.6041666666667,26.8125
1422,"G15B3N","G15B3N-6",2015,"G",3,"G3",41.74274,-83.79059,"squash","B","Net","8/5/2015","NON","BOIM","BOMB","F","too high",0,0,0,7,7.978,46,0.524574669,31,3,3,3,0.05648122,19,2,4.166666667,6,40,0.52,2.083333333,1.126110931,27,3,2,3,2,0.205197704081633,0.359023810488627,2.16666666666667,4.66666666666667,6.83333333333333,5.875,0.354166666666667,46.0625,44.9583333333333,17.1458333333333,7.79166666666667
2976,"GT16C1N","GT16C1N-83",2016,"GT",1,"GT1",42.32644,-83.70953,"squash","C","Net","8/17/2016","NON","BOIM","BOMB","F","too high",0,0,1,49,43.277,423,0.842870636,41,105,116,32,0.588235294,23,16,29.20833333,25,207,0.797124787,4.929138387,2.064573885,20,39,76,28,10,0.698134726655375,1.44447581964954,0.916666666666667,25.7916666666667,26.7083333333333,2.25,3.58333333333333,32.6875,16.4583333333333,9.3125,55.3333333333333
3290,"K16B1N","K16B1N-41",2016,"K",1,"K1",41.95222,-83.92257,"squash","B","Net","8/21/2016","NON","BOIM","BOMB","F","433",0,1,0,41,44.026,291,0.847486449,9,89,34,0,0.582768362,19,10,29.10416667,11,110,0.691239669,3.23875803,1.508913351,3,53,22,0,5,0.671953664513255,1.2630572776546,1.41666666666667,13.9583333333333,15.375,3.375,0.875,23.6041666666667,47.75,24.9166666666667,22.8958333333333
2492,"PL16A1N","PL16A1N-18",2016,"PL",1,"PL1",42.33729,-83.55478,"squash","A","Net","8/11/2016","NON","BOIM","BOMB","F","too high",0,1,0,31,27.842,446,0.802449275,64,105,147,44,0.58908371,26,16,63.35416667,18,178,0.761078147,4.185468956,1.862449063,16,18,71,43,10,0.713288115205988,1.58233828655693,0.208333333333333,14.4166666666667,14.625,0.5,0.770833333333333,37.3125,11.1666666666667,43.7083333333333,12.6458333333333
1749,"PR16A1N","PR16A1N-2",2016,"PR",1,"PR1",42.84507,-84.37847,"squash","A","Net","7/26/2016","NON","BOIM","BOMB","F","323",0,1,0,41,27.33,756,0.742441421,71,167,331,53,0.881802721,18,7,38.83333333,21,353,0.512996654,2.05337398,1.234158044,0,3,239,53,3,0.131469315814773,0.293449720014832,0.208333333333333,6.58333333333333,6.79166666666667,0.75,0.395833333333333,61.625,8.72916666666667,16.0416666666667,8.60416666666667
1473,"S15B2N","S15B2N-16",2015,"S",2,"S2",42.45859,-83.77424,"squash","B","Net","8/7/2015","NON","BOIM","BOMB","F","too high",0,1,1,19,20.354,288,0.838614005,54,50,51,69,0.645079186,18,19,65.20833333,16,172,0.800094646,5.002367264,1.873694324,29,21,43,51,12,0.595121312012449,1.45368866352117,0.625,46.0416666666667,46.6666666666667,1.375,2.10416666666667,14.3541666666667,6.08333333333333,71.9791666666667,19.5833333333333
4808,"SP16C2N","SP16C2N-59",2016,"SP",2,"SP2",42.6815,-83.75499,"squash","C","Net","9/1/2016","NON","BOIM","BOMB","F","too high",1,1,1,30,29.824,343,0.71941113,38,153,89,6,0.510614209,23,15,39.04166667,11,103,0.414176642,1.706999195,1.012190588,9,78,6,0,11,0.717030247342153,1.53780218301057,0.666666666666667,60.9166666666667,61.5833333333333,1.625,1.16666666666667,43.125,49.2916666666667,12.2291666666667,20.7083333333333
3154,"T16C1N","T16C1N-53",2016,"T",1,"T1",42.25154,-84.10862,"squash","C","Net","8/18/2016","NON","BOIM","BOMB","F","too high",0,0,0,33,35.446,292,0.823700507,9,103,40,1,0.582342954,19,10,29.875,28,148,0.745799854,3.933908046,2.104975438,6,68,28,1,6,0.706968590211833,1.42362798361614,2.41666666666667,7.70833333333333,10.125,5.75,2.4375,19.125,57.4166666666667,23.1666666666667,5.70833333333333
441,"W15E2N","W15E2N-11",2015,"W",2,"W2",42.13873,-83.6256,"flowers","E","Net","7/22/2015","NON","BOIM","BOMB","F","too high",1,1,1,16,17.704,226,0.513391808,20,13,14,155,0.275694246,13,11,8.277777778,12,68,0.835640138,6.084210526,2.029548026,16,12,10,15,9,0.752924942381938,1.62767201768562,0.2,8.7,8.9,0.316666666666667,2.5,43.5166666666667,14.5166666666667,30.8166666666667,14.9166666666667
427,"BB15C2P","BB15C2P-195",2015,"BB",2,"BB2",42.18209,-83.41592,"squash","C","Pan","7/18/2015","NON","LASI","LASI","F","37.5",0,0,1,17,15.604,407,0.459839782,3,4,87,286,0.60990099,13,0,2.476190476,10,198,0.472400775,1.89537807,0.902575716,3,3,52,134,0,1,0,1.22222222222222,0,1.22222222222222,2.66666666666667,0,69.4444444444444,63.3611111111111,2.11111111111111,1.30555555555556
729,"BC15C2P","BC15C2P-140",2015,"BC",2,"BC2",42.35073,-83.8556,"squash","C","Pan","7/24/2015","NON","LASI","LASI","F","19.3",0,0,0,8,7.988,340,0.518217993,57,13,227,24,0.36821267,18,5,11.85416667,6,180,0.328148148,1.488423374,0.702770022,19,0,146,8,3,0.390486588079214,0.596675918557329,0.875,11.2083333333333,12.0833333333333,4.375,0.895833333333333,51,48.1875,16,7.58333333333333
581,"BJ15D2P","BJ15D2P-80",2015,"BJ",2,"BJ2",41.79369,-83.63598,"flowers","D","Pan","7/23/2015","NON","LASI","LASI","F","8.71",0,0,0,25,28.247,183,0.814834722,16,42,61,16,0.637672974,19,8,7.583333333,15,76,0.766620499,4.284866469,1.921685131,3,21,29,2,8,0.68503937007874,1.42566384102152,2.29166666666667,10.5833333333333,12.875,3.64583333333333,1.875,63.0625,16.5416666666667,21.625,16.0208333333333
2419,"BP16B1P","BP16B1P-106",2016,"BP",1,"BP1",42.5732,-84.38707,"squash","B","Pan","8/10/2016","NON","LASI","LASI","F","10",0,0,0,43,42.533,346,0.80363527,55,126,64,7,0.660719343,24,11,18.47916667,27,159,0.838574423,6.194805195,2.344772517,22,37,45,6,2,0.486111111111111,0.679193265991526,1.83333333333333,1,2.83333333333333,4.04166666666667,0.770833333333333,57.6875,20.4791666666667,16.1041666666667,11.6875
2250,"E16A1P","E16A1P-151",2016,"E",1,"E1",42.50159,-83.66593,"squash","A","Pan","7/27/2016","NON","LASI","LASI","F","23",0,0,0,27,26.448,350,0.747902041,40,76,41,147,0.426470588,23,9,76.5,19,215,0.541092482,2.179088295,1.307584137,8,4,38,140,4,0.661360685009334,1.13480007153256,2.33333333333333,18.5,20.8333333333333,4.58333333333333,1.14583333333333,50.4375,28.1458333333333,9.5625,18.1041666666667
776,"G15C2P","G15C2P-7",2015,"G",2,"G2",41.74274,-83.79059,"squash","C","Net","7/26/2015","NON","LASI","LASI","F","18",0,0,0,7,7.978,46,0.524574669,31,3,3,3,0.05648122,19,2,4.166666667,3,6,0.5,2,0.867563228,4,0,1,0,2,0.0867768595041321,0.184907399167776,0.583333333333333,0.916666666666667,1.5,1.625,0.125,54.2916666666667,27.7083333333333,22.25,2.125
3045,"GT16B1P","GT16B1P-153",2016,"GT",1,"GT1",42.32644,-83.70953,"squash","B","Pan","8/17/2016","NON","LASI","LASI","F","83",0,0,0,49,43.277,423,0.842870636,41,105,116,32,0.588235294,23,16,29.20833333,25,207,0.797124787,4.929138387,2.064573885,20,39,76,28,10,0.698134726655375,1.44447581964954,0.916666666666667,25.7916666666667,26.7083333333333,2.25,3.58333333333333,32.6875,16.4583333333333,9.3125,55.3333333333333
3337,"K16A1P","K16A1P-88",2016,"K",1,"K1",41.95222,-83.92257,"squash","A","Pan","8/21/2016","NON","LASI","LASI","F","391",0,0,0,41,44.026,291,0.847486449,9,89,34,0,0.582768362,19,10,29.10416667,11,110,0.691239669,3.23875803,1.508913351,3,53,22,0,5,0.671953664513255,1.2630572776546,1.41666666666667,13.9583333333333,15.375,3.375,0.875,23.6041666666667,47.75,24.9166666666667,22.8958333333333
4636,"PL16D2N","PL16D2N-154",2016,"PL",2,"PL2",42.33729,-83.55478,"flowers","D","Net","8/30/2016","NON","LASI","LASI","F","32.8",0,0,0,31,27.842,446,0.802449275,64,105,147,44,0.58908371,26,16,63.35416667,24,268,0.776453553,4.473343298,1.899638879,48,87,76,1,11,0.804410730440109,1.76818499027388,1.04166666666667,111.041666666667,112.083333333333,2.5,3.125,20.7083333333333,15.3333333333333,45.625,33.0833333333333
1933,"PR16B1P","PR16B1P-185",2016,"PR",1,"PR1",42.84507,-84.37847,"squash","B","Pan","7/26/2016","NON","LASI","LASI","F","27.1",1,0,0,41,27.33,756,0.742441421,71,167,331,53,0.881802721,18,7,38.83333333,21,353,0.512996654,2.05337398,1.234158044,0,3,239,53,3,0.131469315814773,0.293449720014832,0.208333333333333,6.58333333333333,6.79166666666667,0.75,0.395833333333333,61.625,8.72916666666667,16.0416666666667,8.60416666666667
1602,"S15C2P","S15C2P-145",2015,"S",2,"S2",42.45859,-83.77424,"squash","C","Pan","8/7/2015","NON","LASI","LASI","F","8",0,0,1,19,20.354,288,0.838614005,54,50,51,69,0.645079186,18,19,65.20833333,16,172,0.800094646,5.002367264,1.873694324,29,21,43,51,12,0.595121312012449,1.45368866352117,0.625,46.0416666666667,46.6666666666667,1.375,2.10416666666667,14.3541666666667,6.08333333333333,71.9791666666667,19.5833333333333
2824,"SP16B1P","SP16B1P-171",2016,"SP",1,"SP1",42.6815,-83.75499,"squash","B","Pan","8/14/2016","NON","LASI","LASI","F","34.6",0,0,0,30,29.824,343,0.71941113,38,153,89,6,0.510614209,23,15,39.04166667,26,240,0.764791667,4.251550044,1.957671226,29,75,83,6,8,0.737864537305896,1.57327256331014,1.66666666666667,14.8333333333333,16.5,5,2.375,35.2083333333333,39.1666666666667,17.4791666666667,10
3247,"T16D1P","T16D1P-148",2016,"T",1,"T1",42.25154,-84.10862,"flowers","D","Pan","8/18/2016","NON","LASI","LASI","F","17.6",0,0,0,33,35.446,292,0.823700507,9,103,40,1,0.582342954,19,10,29.875,28,148,0.745799854,3.933908046,2.104975438,6,68,28,1,6,0.706968590211833,1.42362798361614,2.41666666666667,7.70833333333333,10.125,5.75,2.4375,19.125,57.4166666666667,23.1666666666667,5.70833333333333
488,"W15C2P","W15C2P-58",2015,"W",2,"W2",42.13873,-83.6256,"squash","C","Pan","7/22/2015","NON","LASI","LASI","F","24.5",0,0,0,16,17.704,226,0.513391808,20,13,14,155,0.275694246,13,11,8.277777778,12,68,0.835640138,6.084210526,2.029548026,16,12,10,15,9,0.752924942381938,1.62767201768562,0.2,8.7,8.9,0.316666666666667,2.5,43.5166666666667,14.5166666666667,30.8166666666667,14.9166666666667
318,"BB15A2P","BB15A2P-86",2015,"BB",2,"BB2",42.18209,-83.41592,"squash","A","Pan","7/18/2015","NON","PEPR","PEPO","M","22.9",0,0,0,17,15.604,407,0.459839782,3,4,87,286,0.60990099,13,0,2.476190476,10,198,0.472400775,1.89537807,0.902575716,3,3,52,134,0,1,0,1.22222222222222,0,1.22222222222222,2.66666666666667,0,69.4444444444444,63.3611111111111,2.11111111111111,1.30555555555556
1262,"BC15A3N","BC15A3N-8",2015,"BC",3,"BC3",42.35073,-83.8556,"squash","A","Net","8/2/2015","NON","PEPR","PEPO","M","60",0,0,0,8,7.988,340,0.518217993,57,13,227,24,0.36821267,18,5,11.85416667,6,160,0.6678125,3.010348071,1.365467706,38,13,81,16,3,0.186480455524777,0.396833464385968,2.125,9.5,11.625,5.125,0.270833333333333,61.0625,49.2291666666667,11.8333333333333,5
1199,"BJ15C3N","BJ15C3N-52",2015,"BJ",3,"BJ3",41.79369,-83.63598,"squash","C","Net","7/31/2015","NON","PEPR","PEPO","F","83",0,0,0,25,28.247,183,0.814834722,16,42,61,16,0.637672974,19,8,7.583333333,19,107,0.832911171,5.984840565,2.171968557,13,21,32,14,3,0.53185595567867,0.909707710327499,1.5,0.791666666666667,2.29166666666667,2.89583333333333,0.229166666666667,38.3541666666667,39.5208333333333,32.0416666666667,17.8333333333333
2324,"BP16A1N","BP16A1N-9",2016,"BP",1,"BP1",42.5732,-84.38707,"squash","A","Net","8/10/2016","NON","PEPR","PEPO","M","560",0,0,1,43,42.533,346,0.80363527,55,126,64,7,0.660719343,24,11,18.47916667,27,159,0.838574423,6.194805195,2.344772517,22,37,45,6,2,0.486111111111111,0.679193265991526,1.83333333333333,1,2.83333333333333,4.04166666666667,0.770833333333333,57.6875,20.4791666666667,16.1041666666667,11.6875
2199,"E16B1N","E16B1N-100",2016,"E",1,"E1",42.50159,-83.66593,"squash","B","Net","7/27/2016","NON","PEPR","PEPO","F","too high",0,0,1,27,26.448,350,0.747902041,40,76,41,147,0.426470588,23,9,76.5,19,215,0.541092482,2.179088295,1.307584137,8,4,38,140,4,0.661360685009334,1.13480007153256,2.33333333333333,18.5,20.8333333333333,4.58333333333333,1.14583333333333,50.4375,28.1458333333333,9.5625,18.1041666666667
1424,"G15B3N","G15B3N-8",2015,"G",3,"G3",41.74274,-83.79059,"squash","B","Net","8/5/2015","NON","PEPR","PEPO","F","too high",0,0,0,7,7.978,46,0.524574669,31,3,3,3,0.05648122,19,2,4.166666667,6,40,0.52,2.083333333,1.126110931,27,3,2,3,2,0.205197704081633,0.359023810488627,2.16666666666667,4.66666666666667,6.83333333333333,5.875,0.354166666666667,46.0625,44.9583333333333,17.1458333333333,7.79166666666667
3058,"GT16C1P","GT16C1P-166",2016,"GT",1,"GT1",42.32644,-83.70953,"squash","C","Pan","8/17/2016","NON","PEPR","PEPO","F","380",0,0,0,49,43.277,423,0.842870636,41,105,116,32,0.588235294,23,16,29.20833333,25,207,0.797124787,4.929138387,2.064573885,20,39,76,28,10,0.698134726655375,1.44447581964954,0.916666666666667,25.7916666666667,26.7083333333333,2.25,3.58333333333333,32.6875,16.4583333333333,9.3125,55.3333333333333
2530,"PL16C1N","PL16C1N-56",2016,"PL",1,"PL1",42.33729,-83.55478,"squash","C","Net","8/11/2016","NON","PEPR","PEPO","M","167",0,0,0,31,27.842,446,0.802449275,64,105,147,44,0.58908371,26,16,63.35416667,18,178,0.761078147,4.185468956,1.862449063,16,18,71,43,10,0.713288115205988,1.58233828655693,0.208333333333333,14.4166666666667,14.625,0.5,0.770833333333333,37.3125,11.1666666666667,43.7083333333333,12.6458333333333
1771,"PR16B1N","PR16B1N-24",2016,"PR",1,"PR1",42.84507,-84.37847,"squash","B","Net","7/26/2016","NON","PEPR","PEPO","F","430",1,1,0,41,27.33,756,0.742441421,71,167,331,53,0.881802721,18,7,38.83333333,21,353,0.512996654,2.05337398,1.234158044,0,3,239,53,3,0.131469315814773,0.293449720014832,0.208333333333333,6.58333333333333,6.79166666666667,0.75,0.395833333333333,61.625,8.72916666666667,16.0416666666667,8.60416666666667
1708,"S15C3N","S15C3N-78",2015,"S",3,"S3",42.45859,-83.77424,"squash","C","Net","8/21/2015","NON","PEPR","PEPO","F","too high",0,0,1,19,20.354,288,0.838614005,54,50,51,69,0.645079186,18,19,65.20833333,12,116,0.844381688,6.425978988,2.078238736,25,29,8,18,13,0.728163098032968,1.68066016014959,0.5,83.25,83.75,0.8125,11.7083333333333,15.7083333333333,6.08333333333333,55.3958333333333,34.5208333333333
2832,"SP16D1P","SP16D1P-179",2016,"SP",1,"SP1",42.6815,-83.75499,"flowers","D","Pan","8/14/2016","NON","PEPR","PEPO","F","520",0,0,0,30,29.824,343,0.71941113,38,153,89,6,0.510614209,23,15,39.04166667,26,240,0.764791667,4.251550044,1.957671226,29,75,83,6,8,0.737864537305896,1.57327256331014,1.66666666666667,14.8333333333333,16.5,5,2.375,35.2083333333333,39.1666666666667,17.4791666666667,10
3114,"T16A1N","T16A1N-13",2016,"T",1,"T1",42.25154,-84.10862,"squash","A","Net","8/18/2016","NON","PEPR","PEPO","F","154",0,0,0,33,35.446,292,0.823700507,9,103,40,1,0.582342954,19,10,29.875,28,148,0.745799854,3.933908046,2.104975438,6,68,28,1,6,0.706968590211833,1.42362798361614,2.41666666666667,7.70833333333333,10.125,5.75,2.4375,19.125,57.4166666666667,23.1666666666667,5.70833333333333
999,"W15A3N","W15A3N-13",2015,"W",3,"W3",42.13873,-83.6256,"squash","A","Net","7/30/2015","NON","PEPR","PEPO","F","too high",0,0,0,16,17.704,226,0.513391808,20,13,14,155,0.275694246,13,11,8.277777778,10,158,0.212866528,1.27043257,0.58409867,4,1,4,140,5,0.692444444444444,1.32676895468592,1.25,6.25,7.5,3.5,0.708333333333333,50.4375,32.1458333333333,14.0208333333333,15.4791666666667
411,"BB15C2P","BB15C2P-179",2015,"BB",2,"BB2",42.18209,-83.41592,"squash","C","Pan","7/18/2015","NON","PEPR","PEPO","F","too high",0,0,0,17,15.604,407,0.459839782,3,4,87,286,0.60990099,13,0,2.476190476,10,198,0.472400775,1.89537807,0.902575716,3,3,52,134,0,1,0,1.22222222222222,0,1.22222222222222,2.66666666666667,0,69.4444444444444,63.3611111111111,2.11111111111111,1.30555555555556
779,"BB15A3N","BB15A3N-2",2015,"BB",3,"BB3",42.18209,-83.41592,"squash","A","Net","7/28/2015","NON","PEPR","PEPO","F","10.3",0,0,0,17,15.604,407,0.459839782,3,4,87,286,0.60990099,13,0,2.476190476,14,209,0.441748128,1.791306131,1.01111032,0,1,35,152,0,1,0,3.41666666666667,0,3.41666666666667,8.25,0,65.625,61.5833333333333,14.1666666666667,4.66666666666667
780,"BB15A3N","BB15A3N-3",2015,"BB",3,"BB3",42.18209,-83.41592,"squash","A","Net","7/28/2015","NON","PEPR","PEPO","F","too high",0,0,0,17,15.604,407,0.459839782,3,4,87,286,0.60990099,13,0,2.476190476,14,209,0.441748128,1.791306131,1.01111032,0,1,35,152,0,1,0,3.41666666666667,0,3.41666666666667,8.25,0,65.625,61.5833333333333,14.1666666666667,4.66666666666667
